Timestamp,Heart Rate,Latitude,Longitude,Altitude,Speed(m/s),Sport Mode
2025-04-14 10:52:52,72,33.40694542506181,-111.9482207256824,354.5214630626142,0.0,0
2025-04-14 10:52:53,73,33.40693766906872,-111.94821984638496,354.53396375570446,0.0,0
2025-04-14 10:52:54,74,33.406931235392776,-111.9482195822106,354.53741108905524,0.0,0
2025-04-14 10:52:55,75,33.406916692101845,-111.94820535989847,354.5377559084445,1.0323095321655138,0
2025-04-14 10:52:56,76,33.40691085219355,-111.94820722122114,354.53779029659927,0.0,0
2025-04-14 10:52:57,77,33.406897165095955,-111.94820249128176,354.53779374435544,0.0,0
2025-04-14 10:52:58,78,33.40688797338254,-111.94819739971287,354.5377940889448,0.0,0
2025-04-14 10:52:59,79,33.40687704070705,-111.94819413142862,354.5377941234037,0.0,0
2025-04-14 10:53:00,79,33.40686076566105,-111.94819351074278,354.53779412806034,0.0,0
2025-04-14 10:53:01,78,33.40685514087681,-111.94819240097138,354.537794127129,0.0,0
2025-04-14 10:53:02,76,33.40684456524927,-111.94817928908478,354.53779411315884,0.0,0
2025-04-14 10:53:03,74,33.40684456524936,-111.94817928908478,354.5377941261977,0.0,0
2025-04-14 10:53:04,73,33.40684718963191,-111.9481837121586,354.5377941131592,-1.0,0
2025-04-14 10:53:05,73,33.4068454061356,-111.9481834987293,354.5377941131592,0.0,0
2025-04-14 10:53:06,72,33.40684540613568,-111.9481834987293,354.5377941261977,0.0,0
2025-04-14 10:53:07,73,33.406841654676235,-111.9481825271668,354.537794127129,0.0,0
2025-04-14 10:53:08,73,33.40684304086023,-111.94818112925932,354.537794127129,0.0,0
2025-04-14 10:53:09,74,33.40684672128331,-111.94817673291408,354.53779412899166,0.0,0
2025-04-14 10:53:10,76,33.40684314623794,-111.94817070212717,354.5377941261977,0.0,0
2025-04-14 10:53:11,78,33.40683679797291,-111.94816376321423,354.537794129923,0.0,0
2025-04-14 10:53:12,81,33.40682606800996,-111.94816096214012,354.5377941261977,0.0,0
2025-04-14 10:53:13,82,33.40682366993804,-111.94815865621779,354.53779412899166,0.0,0
2025-04-14 10:53:14,83,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:15,83,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:16,83,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:17,84,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:18,85,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:19,87,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:20,88,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:21,90,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:22,92,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:23,92,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
2025-04-14 10:53:24,94,33.40681145093872,-111.94815360458584,354.53779412806034,0.0,0
